group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
ticker,GIS,9,0.5556,4.31,11.96,38.82,1.4,0.156,51.99,0.3856,1.0648,2.67
ticker,COST,6,0.6667,6.43,9.6,38.59,3.074,0.501,51.78,0.3383,0.4347,4.17
ticker,KMB,9,0.6667,3.87,12.5,34.83,1.493,0.18,50.58,0.1867,0.5889,3.44
ticker,MCD,6,0.6667,5.59,10.4,33.54,2.132,0.312,50.82,0.2417,1.1811,3.33
ticker,SHW,6,0.6667,5.25,27.96,31.49,1.334,0.138,50.39,0.3433,1.0328,3.67
ticker,SO,3,1.0,10.2,12.88,30.6,,2.343,50.37,0.2767,0.6918,2.67
ticker,JPM,4,0.75,7.28,9.38,29.14,1.702,0.217,51.27,0.5325,1.2184,4.5
ticker,WFC,5,0.6,5.64,1.7,28.2,1.356,0.125,50.3,0.176,0.6991,4.0
ticker,UNP,4,0.5,6.68,3.77,26.73,2.528,0.418,51.17,0.4225,1.407,4.25
ticker,RTX,4,0.5,6.6,8.85,26.4,1.896,0.295,51.06,0.285,1.6227,4.25
ticker,ED,2,1.0,10.24,10.24,20.48,,19.321,50.31,0.375,1.9511,3.0
ticker,PEG,5,0.6,4.02,2.87,20.08,1.938,0.236,50.35,0.366,1.1833,3.6
ticker,BSX,3,0.6667,6.66,32.53,19.98,1.368,0.154,52.29,0.5067,1.6034,4.0
ticker,EMR,3,0.6667,6.1,11.56,18.29,1.551,0.202,50.83,0.1933,0.3497,2.0
ticker,EBAY,8,0.625,2.12,14.0,16.97,1.171,0.073,50.43,0.285,0.069,3.38
ticker,C,2,0.5,8.38,8.38,16.76,1.506,0.202,50.56,0.64,1.5532,2.0
ticker,DHR,4,0.5,4.09,13.18,16.36,1.224,0.085,50.63,0.36,0.7744,3.5
ticker,TMUS,5,0.6,3.19,16.74,15.94,1.275,0.113,50.87,0.366,0.9925,2.8
