group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
rank_score_decile,R1,131,0.5191,-2.08,1.98,-272.96,0.867,-0.062,50.91,0.269,-0.0153,3.2
rank_score_decile,R7,131,0.5038,-3.36,1.26,-439.84,0.779,-0.109,50.87,0.2206,0.0159,3.34
rank_score_decile,R3,131,0.4809,-3.72,-4.87,-487.3,0.77,-0.116,51.09,0.2387,0.004,2.94
rank_score_decile,R6,130,0.5,-3.83,-1.33,-498.3,0.726,-0.133,50.95,0.2195,0.0128,3.58
rank_score_decile,R10,131,0.5344,-4.52,6.34,-591.56,0.786,-0.104,50.89,0.2067,0.0416,3.37
regime_state,neutral,456,0.5636,0.33,8.89,148.97,1.022,0.009,50.99,0.32,0.0115,3.32
regime_state,bull,853,0.5006,-3.52,0.05,-3001.24,0.776,-0.11,50.9,0.2023,0.0122,3.21
sector,XLP,105,0.5619,0.77,7.18,80.47,1.079,0.034,50.82,0.2268,0.0091,3.2
sector,XLRE,83,0.5181,-0.97,3.1,-80.41,0.921,-0.036,50.6,0.2336,0.0131,3.12
sector,XLI,131,0.5573,-0.81,7.37,-105.75,0.944,-0.025,50.68,0.2557,0.0062,3.03
sector,XLE,109,0.5321,-1.47,1.47,-160.52,0.917,-0.037,50.92,0.2517,0.0193,3.29
sector,XLF,106,0.5,-1.65,-0.16,-175.17,0.889,-0.052,51.18,0.2418,0.0052,3.31
sector,XLV,194,0.5309,-0.95,4.15,-183.4,0.928,-0.033,50.79,0.2203,0.0129,3.31
sector,XLU,74,0.5405,-2.76,1.45,-204.19,0.74,-0.129,50.82,0.2427,0.0092,3.36
sector,XLY,123,0.5122,-2.25,2.69,-277.23,0.856,-0.068,51.13,0.2323,0.0123,3.37
sector,XLB,73,0.4932,-4.69,-3.69,-342.73,0.755,-0.121,51.22,0.2016,0.0179,3.22
sector,XLC,118,0.5,-2.95,-2.41,-348.57,0.821,-0.087,51.04,0.27,0.0125,3.21
sector,XLK,193,0.5026,-5.47,1.32,-1054.77,0.735,-0.135,51.05,0.2737,0.0138,3.27
signal_quality,HIGH,1309,0.5225,-2.18,3.1,-2852.27,0.858,-0.066,50.93,0.2433,0.0119,3.25
ticker,GOOGL,7,1.0,31.44,29.6,220.11,,3.489,51.84,0.3757,0.0089,3.0
ticker,BKNG,7,1.0,30.42,40.15,212.95,,1.583,51.61,0.18,-0.0011,4.14
ticker,CI,20,0.65,7.71,15.31,154.1,1.8,0.267,50.91,0.2205,0.0133,4.2
ticker,PM,4,1.0,26.85,30.31,107.4,,1.829,50.43,0.2875,0.0011,3.75
ticker,CMCSA,4,1.0,26.62,23.95,106.49,,1.793,50.64,0.3975,0.0033,3.25
ticker,SPG,5,0.6,19.62,35.39,98.11,2.805,0.498,50.59,-0.174,0.0271,3.6
ticker,KMB,20,0.7,4.82,11.79,96.43,1.677,0.242,50.82,0.069,0.0088,2.7
ticker,AMAT,13,0.6154,7.14,17.72,92.77,1.51,0.179,50.66,0.2569,0.0131,3.38
ticker,KMI,13,0.6923,6.96,15.24,90.5,2.217,0.366,51.06,0.2531,0.0145,3.0
ticker,GILD,9,0.6667,9.9,12.99,89.14,2.409,0.344,50.53,0.0811,0.0116,3.89
ticker,GIS,14,0.7143,6.27,10.44,87.8,1.905,0.281,50.73,0.2371,0.0152,3.21
ticker,SCHW,14,0.5714,5.99,22.44,83.85,1.511,0.2,51.69,0.3121,0.01,3.5
ticker,UNH,13,0.6154,6.14,15.19,79.88,1.819,0.269,50.57,0.2462,0.0098,3.31
ticker,SLB,10,0.7,7.84,23.19,78.39,1.544,0.205,51.4,0.14,0.0127,3.1
ticker,VZ,5,0.8,14.18,17.66,70.91,3.704,0.673,50.87,0.232,0.0054,1.6
ticker,CCI,5,0.8,14.01,18.91,70.06,2.524,0.433,50.7,0.286,0.0035,2.8
