date,n_positions,gross_exposure,net_exposure,turnover,cost,period_return
2013-12-09,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.009714870904363872
2013-12-16,5,1.0,1.0,2.0,0.002,0.02447026814469351
2013-12-23,5,1.0,1.0,2.0,0.002,0.0018772706096267418
2013-12-31,5,1.0,1.0,2.0,0.002,0.003747414545248422
2014-01-08,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.009138209828188476
2014-01-15,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.015775925230648084
2014-01-23,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.024140915451077473
2014-01-30,5,1.0,1.0,2.0,0.002,-0.019909091471705248
2014-02-06,5,1.0,1.0,2.0,0.002,0.06286120694179463
2014-02-13,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.001564033683082131
2014-02-21,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.013349756253305521
2014-02-28,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.009862627912432118
2014-03-07,5,1.0,1.0,2.0,0.002,0.008984671415181342
2014-03-14,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.00018594258879470584
2014-03-21,5,1.0,1.0,2.0,0.002,-0.03184279616422039
2014-03-28,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.034105499440333184
2014-04-04,5,1.0,1.0,2.0,0.002,-0.04554559120828663
2014-04-11,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.052377811419574406
2014-04-21,5,1.0,1.0,2.0,0.002,-0.003535616560186226
2014-04-28,5,1.0,1.0,2.0,0.002,0.06785872578323561
2014-05-05,5,1.0,1.0,2.0,0.002,-0.021700679295183274
2014-05-12,5,1.0,1.0,2.0,0.002,-0.011003809312275811
2014-05-19,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.0004939228574718834
2014-05-27,5,1.0,1.0,2.0,0.002,-0.004928937289028381
2014-06-03,5,1.0,1.0,2.0,0.002,0.035653125255913055
2014-06-10,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-2.8856690371107784e-05
2014-06-17,5,1.0,1.0,2.0,0.002,0.014790365959816533
2014-06-24,5,1.0,1.0,2.0,0.002,0.02442092279465949
2014-07-01,5,1.0,1.0,2.0,0.002,-0.0012833226892477291
2014-07-09,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.014971234309203234
2014-07-16,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.002678888798549748
2014-07-23,5,1.0,1.0,2.0,0.002,-0.014124874189196548
2014-07-30,5,1.0,1.0,2.0,0.002,-0.021689085380997973
2014-08-06,5,1.0,1.0,2.0,0.002,0.008002682500729717
2014-08-13,5,1.0,1.0,2.0,0.002,0.03788751829040741
2014-08-20,5,1.0,1.0,2.0,0.002,0.005389949104159253
2014-08-27,5,1.0,1.0,2.0,0.002,0.0005726599262093203
2014-09-04,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.009407481496292383
2014-09-11,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.029650021947278164
2014-09-18,5,1.0,1.0,2.0,0.002,-0.03812382909383194
2014-09-25,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.03249038933162094
2014-10-02,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.07280433288136895
2014-10-09,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.04247079442981482
2014-10-16,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.05489917922068814
2014-10-23,5,1.0,1.0,2.0,0.002,-0.007257836135895632
2014-10-30,5,1.0,1.0,2.0,0.002,-0.016275730998860198
2014-11-06,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.01607880785084344
2014-11-13,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.018703991627980275
2014-11-20,5,1.0,1.0,2.0,0.002,0.010780182130801908
2014-11-28,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.013387460801824581
2014-12-05,5,1.0,1.0,2.0,0.002,-0.04819512144185928
2014-12-12,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.03756437551080339
2014-12-19,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.011756194603478131
2014-12-29,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.03491733932803611
2015-01-06,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.01301002841978092
2015-01-13,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.021951652495543414
2015-01-21,5,1.0,1.0,2.0,0.002,0.0089934311990766
2015-01-28,5,1.0,1.0,2.0,0.002,0.050814495617347064
2015-02-04,5,1.0,1.0,2.0,0.002,-0.04077837235120692
2015-02-11,5,1.0,1.0,2.0,0.002,0.026117154068887108
2015-02-19,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,-0.007803971794633763
2015-02-26,5,1.0,1.0,2.0,0.002,0.00859601918707719
2015-03-05,5,1.0,1.0,2.0,0.002,-0.03972955333446527
2015-03-12,5,1.0,1.0,2.0,0.002,-0.0034291072754432045
2015-03-19,5,1.0,1.0,2.0,0.002,-0.00045520867528728304
2015-03-26,5,1.0,1.0,2.0,0.002,-0.0018609679211570637
2015-04-02,5,1.0,1.0,2.0,0.002,0.025914221606348216
2015-04-10,5,1.0,1.0,2.0,0.002,-0.0052308499167417685
2015-04-17,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.011141619932711462
2015-04-24,5,1.0,1.0,2.0,0.002,-0.002594256265255963
2015-05-01,5,1.0,1.0,2.0,0.002,0.0011403675188153303
2015-05-08,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.027095922558572634
2015-05-15,5,1.0,1.0,2.0,0.002,0.009698877720772789
2015-05-22,5,1.0,1.0,2.0,0.002,-0.003775742567990883
2015-06-01,5,1.0,1.0,2.0,0.002,-0.014979631620236071
2015-06-08,5,1.0,1.0,2.0,0.002,-0.013501583303765044
2015-06-15,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.014109313866874534
2015-06-22,5,1.0,1.0,2.0,0.002,-0.03418825996333628
2015-06-29,5,1.0,1.0,2.0,0.002,-0.04550134923797795
2015-07-07,5,1.0,1.0,2.0,0.002,0.0012081042018525718
2015-07-14,5,1.0,1.0,2.0,0.002,-0.06445992940695387
2015-07-21,5,1.0,1.0,2.0,0.002,-0.02211457943055195
2015-07-28,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.04273586721781918
2015-08-04,5,1.0,1.0,2.0,0.002,-0.021869505607856297
2015-08-11,5,1.0,1.0,2.0,0.002,-0.00633215137499501
2015-08-18,5,1.0,1.0,2.0,0.002,-0.10578298581750076
2015-08-25,5,1.0,1.0,2.0,0.002,0.008510892846808176
2015-09-01,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,-0.0090030527232407
2015-09-09,5,1.0,1.0,2.0,0.002,0.03812263938813117
2015-09-16,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.044481286260095315
2015-09-23,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.008182364096084806
2015-09-30,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.05273918168352043
2015-10-07,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.021199293099823012
2015-10-14,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.004049698828746765
2015-10-21,5,1.0,1.0,2.0,0.002,0.06028548987727163
2015-10-28,5,1.0,1.0,2.0,0.002,-0.007926004794439584
2015-11-04,5,1.0,1.0,2.0,0.002,-0.027975720588357476
2015-11-11,5,1.0,1.0,2.0,0.002,0.009695516476955652
2015-11-18,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.03636670646607439
2015-11-25,5,1.0,1.0,2.0,0.002,-0.04697526787147257
2015-12-03,5,1.0,1.0,2.0,0.002,0.013000515171394373
2015-12-10,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.007059033540967669
2015-12-17,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.06717337811484325
2015-12-24,5,1.0,1.0,2.0,0.002,-0.02694586338964792
2016-01-04,5,1.0,1.0,2.0,0.002,-0.12416206415580933
2016-01-11,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.13406981196733359
2016-01-19,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.10219409764029987
2016-01-26,5,1.0,1.0,2.0,0.002,-0.0040916602246359145
2016-02-02,5,1.0,1.0,2.0,0.002,-0.1414023640659991
2016-02-09,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.14227264891612174
2016-02-17,5,1.0,1.0,2.0,0.002,0.017610525627927212
2016-02-24,5,1.0,1.0,2.0,0.002,0.06206342602113901
2016-03-02,5,1.0,1.0,2.0,0.002,0.02299787735739834
2016-03-09,5,1.0,1.0,2.0,0.002,0.045066644511747314
2016-03-16,5,1.0,1.0,2.0,0.002,-0.0015363704081146365
2016-03-23,5,1.0,1.0,2.0,0.002,0.027735541866185077
2016-03-31,5,1.0,1.0,2.0,0.002,-0.0019135321247564022
2016-04-07,5,1.0,1.0,2.0,0.002,0.0398884938094215
2016-04-14,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.011053590584395366
2016-04-21,5,1.0,1.0,2.0,0.002,0.048608015882586765
2016-04-28,5,1.0,1.0,2.0,0.002,0.012152165649299664
2016-05-05,5,1.0,1.0,2.0,0.002,-0.0149711463385045
2016-05-12,5,1.0,1.0,2.0,0.002,0.037140850222829216
2016-05-19,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.0247648321661464
2016-05-26,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.05205614499650469
2016-06-03,5,1.0,1.0,2.0,0.002,-0.002055609067117682
2016-06-10,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.01683168759669295
2016-06-17,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.040605862890484706
2016-06-24,5,1.0,1.0,2.0,0.002,0.045301186050069664
2016-07-01,5,1.0,1.0,2.0,0.002,0.01480568516269074
2016-07-11,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.030777501444726477
