,equity,benchmark_spy_norm,benchmark_qqq_norm,benchmark_iwm_norm
2024-09-24,10569.050335847636,1.0,1.0,1.0
2024-09-25,10569.050335847636,1.0,1.0,1.0
2024-09-26,10569.050335847636,1.0,1.0,1.0
2024-09-27,10569.050335847636,1.0,1.0,1.0
2024-09-30,10569.050335847636,1.0,1.0,1.0
2024-10-01,10569.050335847636,1.0,1.0,1.0
2024-10-02,10569.050335847636,1.0,1.0,1.0
2024-10-03,10569.050335847636,1.0,1.0,1.0
2024-10-04,10569.050335847636,1.0,1.0,1.0
2024-10-07,10569.050335847636,1.0,1.0,1.0
2024-10-08,10569.050335847636,1.0,1.0,1.0
2024-10-09,10569.050335847636,1.0,1.0,1.0
2024-10-10,10569.050335847636,1.0,1.0,1.0
2024-10-11,10569.050335847636,1.0,1.0,1.0
2024-10-14,10569.050335847636,1.0,1.0,1.0
2024-10-15,10569.050335847636,1.0,1.0,1.0
2024-10-16,10569.050335847636,1.0,1.0,1.0
2024-10-17,10569.050335847636,1.0,1.0,1.0
2024-10-18,10569.050335847636,1.0,1.0,1.0
2024-10-21,10569.050335847636,1.0,1.0,1.0
2024-10-22,10569.050335847636,1.0,1.0,1.0
2024-10-23,10569.050335847636,1.0,1.0,1.0
2024-10-24,10569.050335847636,1.0,1.0,1.0
2024-10-25,10569.050335847636,1.0,1.0,1.0
2024-10-28,10569.050335847636,1.0,1.0,1.0
2024-10-29,10569.050335847636,1.0,1.0,1.0
2024-10-30,10569.050335847636,1.0,1.0,1.0
2024-10-31,10413.541833107909,1.0,1.0,1.0
2024-11-01,10567.335069809375,1.0,1.0,1.0
2024-11-04,10508.544734306031,1.0,1.0,1.0
2024-11-05,10634.545810103042,1.0,1.0,1.0
2024-11-06,11003.11342055137,1.0,1.0,1.0
2024-11-07,11146.85032803771,1.0,1.0,1.0
2024-11-08,11056.043267651326,1.0,1.0,1.0
2024-11-11,10990.973506576433,1.0,1.0,1.0
2024-11-12,11091.492349950457,1.0,1.0,1.0
2024-11-13,11343.517082624003,1.0,1.0,1.0
2024-11-14,11216.29028031281,1.0,1.0,1.0
2024-11-15,10782.089570717431,1.0,1.0,1.0
2024-11-18,10745.378772971688,1.0,1.0,1.0
2024-11-19,10812.488084164093,1.0,1.0,1.0
2024-11-20,10788.047339211309,1.0,1.0,1.0
2024-11-21,10788.047339211309,1.0,1.0,1.0
2024-11-22,10788.047339211309,1.0,1.0,1.0
2024-11-25,10788.047339211309,1.0,1.0,1.0
2024-11-26,10788.047339211309,1.0,1.0,1.0
2024-11-27,10788.047339211309,1.0,1.0,1.0
2024-11-29,10788.047339211309,1.0,1.0,1.0
2024-12-02,10788.047339211309,1.0,1.0,1.0
2024-12-03,10788.047339211309,1.0,1.0,1.0
2024-12-04,10788.047339211309,1.0,1.0,1.0
2024-12-05,10788.047339211309,1.0,1.0,1.0
2024-12-06,10788.047339211309,1.0,1.0,1.0
2024-12-09,10788.047339211309,1.0,1.0,1.0
2024-12-10,10788.047339211309,1.0,1.0,1.0
2024-12-11,10788.047339211309,1.0,1.0,1.0
2024-12-12,10788.047339211309,1.0,1.0,1.0
2024-12-13,10788.047339211309,1.0,1.0,1.0
2024-12-16,10788.047339211309,1.0,1.0,1.0
2024-12-17,10788.047339211309,1.0,1.0,1.0
2024-12-18,10788.047339211309,1.0,1.0,1.0
2024-12-19,10788.047339211309,1.0,1.0,1.0
2024-12-20,10788.047339211309,1.0,1.0,1.0
2024-12-23,10788.047339211309,1.0,1.0,1.0
2024-12-24,10788.047339211309,1.0,1.0,1.0
2024-12-26,10788.047339211309,1.0,1.0,1.0
2024-12-27,10788.047339211309,1.0,1.0,1.0
2024-12-30,10788.047339211309,1.0,1.0,1.0
2024-12-31,10788.047339211309,1.0,1.0,1.0
2025-01-02,10788.047339211309,1.0,1.0,1.0
2025-01-03,10788.047339211309,1.0,1.0,1.0
2025-01-06,10788.047339211309,1.0,1.0,1.0
2025-01-07,10788.047339211309,1.0,1.0,1.0
2025-01-08,10788.047339211309,1.0,1.0,1.0
2025-01-10,10788.047339211309,1.0,1.0,1.0
2025-01-13,10788.047339211309,1.0,1.0,1.0
2025-01-14,10788.047339211309,1.0,1.0,1.0
2025-01-15,10788.047339211309,1.0,1.0,1.0
2025-01-16,10788.047339211309,1.0,1.0,1.0
2025-01-17,10788.047339211309,1.0,1.0,1.0
2025-01-21,10788.047339211309,1.0,1.0,1.0
