horizon_days,score_source,shape,exposure,weighting,sector_mode,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,nw_tstat_vs_blend,turnover_pct,estimated_cost_pct,avg_gross_exposure,feature_health_gate_pass,active_cluster_count,effective_cluster_count,max_cluster_weight,feature_health_gate_reasons,subperiod_stability_pass,paper_ready,robustness_score,drawdown_penalty,turnover_penalty,instability_penalty
5,factor_only,top_bottom_quintile,long_only,score,unconstrained,1018.71,15.96,0.798,-36.14,255.96,-606.1,-88.86,0.079,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.1126,0.4456,7.965,0.5
5,factor_only,top5,long_only,equal,sector_neutral,392.15,10.26,0.584,-31.97,-370.6,-1232.66,-715.42,-1.489,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.1598,0.2788,7.965,0.5
5,factor_only,top5,long_only,score,sector_neutral,392.15,10.26,0.584,-31.97,-370.6,-1232.66,-715.42,-1.489,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.1598,0.2788,7.965,0.5
5,factor_only,top10,long_only,equal,unconstrained,744.21,13.97,0.726,-38.05,-18.54,-880.6,-363.37,-0.398,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.261,0.522,7.965,0.5
5,factor_plus_model,top5,long_only,equal,sector_neutral,276.39,8.47,0.499,-33.21,-486.36,-1348.42,-831.18,-1.954,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.2944,0.3284,7.965,0.5
5,factor_plus_model,top5,long_only,score,sector_neutral,276.39,8.47,0.499,-33.21,-486.36,-1348.42,-831.18,-1.954,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.2944,0.3284,7.965,0.5
5,factor_walkforward,top_decile,long_only,equal,unconstrained,498.16,11.59,0.653,-37.27,-264.59,-1126.66,-609.42,-0.987,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.3028,0.4908,7.965,0.5
5,factor_walkforward,top_bottom_decile,long_only,equal,unconstrained,498.16,11.59,0.653,-37.27,-264.59,-1126.66,-609.42,-0.987,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.3028,0.4908,7.965,0.5
5,factor_walkforward,top_quintile,long_only,score,unconstrained,481.15,11.39,0.659,-37.78,-281.6,-1143.66,-626.42,-1.172,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.3172,0.5112,7.965,0.5
5,factor_walkforward,top_bottom_quintile,long_only,score,unconstrained,481.15,11.39,0.659,-37.78,-281.6,-1143.66,-626.42,-1.172,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.3172,0.5112,7.965,0.5
