,equity,benchmark_spy_norm
2021-01-14,10448.525356243441,1.0
2021-01-15,10448.525356243441,1.0
2021-01-19,10448.525356243441,1.0
2021-01-20,10448.525356243441,1.0
2021-01-21,10448.525356243441,1.0
2021-01-22,10448.525356243441,1.0
2021-01-25,10448.525356243441,1.0
2021-01-26,10448.525356243441,1.0
2021-01-27,10448.525356243441,1.0
2021-01-28,10448.525356243441,1.0
2021-01-29,10448.525356243441,1.0
2021-02-01,10448.525356243441,1.0
2021-02-02,10448.525356243441,1.0
2021-02-03,10448.525356243441,1.0
2021-02-04,10448.525356243441,1.0
2021-02-05,10448.525356243441,1.0
2021-02-08,10448.525356243441,1.0
2021-02-09,10448.525356243441,1.0
2021-02-10,10448.525356243441,1.0
2021-02-11,10448.525356243441,1.0
2021-02-12,10448.525356243441,1.0
2021-02-16,10448.525356243441,1.0
2021-02-17,10448.525356243441,1.0
2021-02-18,10448.525356243441,1.0
2021-02-19,10448.525356243441,1.0
2021-02-22,10448.525356243441,1.0
2021-02-23,10448.525356243441,1.0
2021-02-24,10448.525356243441,1.0
2021-02-25,10448.525356243441,1.0
2021-02-26,10448.525356243441,1.0
2021-03-01,10448.525356243441,1.0
2021-03-02,10448.525356243441,1.0
2021-03-03,10448.525356243441,1.0
2021-03-04,10448.525356243441,1.0
2021-03-05,10448.525356243441,1.0
2021-03-08,10448.525356243441,1.0
2021-03-09,10448.525356243441,1.0
2021-03-10,10448.525356243441,1.0
2021-03-11,10448.525356243441,1.0
2021-03-12,10448.525356243441,1.0
2021-03-15,10448.525356243441,1.0
2021-03-16,10448.525356243441,1.0
2021-03-17,10448.525356243441,1.0
2021-03-18,10448.525356243441,1.0
2021-03-19,10448.525356243441,1.0
2021-03-22,10448.525356243441,1.0
2021-03-23,10448.525356243441,1.0
2021-03-24,10448.525356243441,1.0
2021-03-25,10448.525356243441,1.0
2021-03-26,10448.525356243441,1.0
2021-03-29,10448.525356243441,1.0
2021-03-30,10448.525356243441,1.0
2021-03-31,10448.525356243441,1.0
2021-04-01,10448.525356243441,1.0
2021-04-05,10448.525356243441,1.0
2021-04-06,10448.525356243441,1.0
2021-04-07,10448.525356243441,1.0
2021-04-08,10448.525356243441,1.0
2021-04-09,10448.525356243441,1.0
2021-04-12,10448.525356243441,1.0
2021-04-13,10448.525356243441,1.0
2021-04-14,10448.525356243441,1.0
2021-04-15,10448.525356243441,1.0
2021-04-16,10448.525356243441,1.0
2021-04-19,10448.525356243441,1.0
2021-04-20,10448.525356243441,1.0
2021-04-21,10448.525356243441,1.0
2021-04-22,10448.525356243441,1.0
2021-04-23,10448.525356243441,1.0
2021-04-26,10448.525356243441,1.0
2021-04-27,10448.525356243441,1.0
2021-04-28,10448.525356243441,1.0
2021-04-29,10448.525356243441,1.0
2021-04-30,10448.525356243441,1.0
2021-05-03,10448.525356243441,1.0
2021-05-04,10448.525356243441,1.0
2021-05-05,10448.525356243441,1.0
2021-05-06,10448.525356243441,1.0
2021-05-07,10448.525356243441,1.0
2021-05-10,10448.525356243441,1.0
2021-05-11,10448.525356243441,1.0
2021-05-12,10448.525356243441,1.0
2021-05-13,10448.525356243441,1.0
2021-05-14,10448.525356243441,1.0
2021-05-17,10448.525356243441,1.0
2021-05-18,10448.525356243441,1.0
2021-05-19,10448.525356243441,1.0
2021-05-20,10448.525356243441,1.0
2021-05-21,10448.525356243441,1.0
2021-05-24,10448.525356243441,1.0
2021-05-25,10448.525356243441,1.0
2021-05-26,10448.525356243441,1.0
2021-05-27,10448.525356243441,1.0
2021-05-28,10448.525356243441,1.0
2021-06-01,10448.525356243441,1.0
2021-06-02,10448.525356243441,1.0
2021-06-03,10448.525356243441,1.0
2021-06-04,10448.525356243441,1.0
2021-06-07,10448.525356243441,1.0
2021-06-08,10448.525356243441,1.0
2021-06-09,10448.525356243441,1.0
2021-06-10,10448.525356243441,1.0
2021-06-11,10448.525356243441,1.0
2021-06-14,10448.525356243441,1.0
2021-06-15,10448.525356243441,1.0
2021-06-16,10448.525356243441,1.0
2021-06-17,10448.525356243441,1.0
2021-06-18,10448.525356243441,1.0
2021-06-21,10448.525356243441,1.0
2021-06-22,10448.525356243441,1.0
2021-06-23,10448.525356243441,1.0
2021-06-24,10448.525356243441,1.0
2021-06-25,10448.525356243441,1.0
2021-06-28,10448.525356243441,1.0
2021-06-29,10448.525356243441,1.0
2021-06-30,10448.525356243441,1.0
2021-07-01,10448.525356243441,1.0
2021-07-02,10448.525356243441,1.0
2021-07-06,10448.525356243441,1.0
2021-07-07,10448.525356243441,1.0
2021-07-08,10448.525356243441,1.0
2021-07-09,10448.525356243441,1.0
2021-07-12,10448.525356243441,1.0
2021-07-13,10448.525356243441,1.0
2021-07-14,10448.525356243441,1.0
2021-07-15,10448.525356243441,1.0
