date,equity
2015-08-11,7752.767291970587
2015-08-18,7746.347084560171
2015-08-25,7746.445114768459
2015-09-01,7774.30958197781
2015-09-08,7844.566881501429
2015-09-16,7849.609906529613
2015-09-23,7815.944120278931
2015-09-30,7813.550274216454
2015-10-07,7747.04031081171
2015-10-14,7761.28018082477
2015-10-21,7688.928428798202
2015-10-28,7613.393515113238
2015-11-04,7607.43417652083
2015-11-11,7639.629733183167
2015-11-18,7669.842383767655
2015-11-25,7640.80058680512
2015-12-02,7619.212372616156
2015-12-10,7641.059764756717
2015-12-17,7613.960576367562
2015-12-24,7633.553105952477
2015-12-31,7637.0618666136725
2016-01-11,7600.190111666004
2016-01-18,7555.015248313528
2016-01-26,7567.054693794617
2016-02-02,7526.916411325418
2016-02-09,7517.706168101227
2016-02-16,7795.918686077622
2016-02-24,7762.748618685684
2016-03-02,7743.335299925743
2016-03-09,7712.302675843659
2016-03-16,7744.233425920792
2016-03-23,7728.061116386411
2016-03-30,7731.141447760688
2016-04-07,7730.201711638771
2016-04-14,7739.156050000805
2016-04-21,7714.924089740801
2016-04-28,7707.142998217637
2016-05-05,7683.463565665175
2016-05-12,7639.642355788094
2016-05-19,7646.741848956034
2016-05-26,7659.393260017181
2016-06-02,7647.635146915213
2016-06-10,7648.593595102372
2016-06-17,7832.3253294808665
2016-06-24,7823.275485596201
2016-07-01,7782.408091309709
2016-07-08,7779.797016556358
2016-07-18,7787.837504246883
2016-07-25,7895.811928278507
2016-08-01,7838.117904154024
2016-08-08,7860.118756543996
2016-08-15,7926.25011128002
2016-08-22,7956.122267572744
2016-08-29,7899.740781733681
2016-09-05,7829.624873078731
2016-09-13,7727.953489957333
2016-09-20,7748.423393254025
2016-09-27,7764.039250188068
2016-10-04,7779.67274465993
2016-10-11,7756.745721178794
2016-10-18,7773.763129882281
2016-10-25,7816.952386064034
2016-11-01,7802.632562908593
2016-11-08,7823.807340639577
2016-11-15,7860.11196337824
2016-11-22,7866.1328369492685
2016-11-29,7900.4713464881415
2016-12-07,7844.419819017124
2016-12-14,7828.003689263839
2016-12-21,7847.736880829784
2016-12-28,7804.916538499389
2017-01-05,7818.366489416826
2017-01-13,7838.759669960192
2017-01-20,7771.984151381076
2017-01-30,7770.4829244574585
2017-02-06,7884.481938988655
2017-02-13,7871.727286064785
2017-02-20,7870.083034552427
2017-02-28,7843.215244537587
2017-03-07,7835.235087687371
2017-03-14,7825.7190541092305
2017-03-21,7781.429837461257
2017-03-28,7775.920055064091
2017-04-04,7782.980829864291
2017-04-11,7750.097260629924
2017-04-18,7695.54877549826
2017-04-26,7724.884694492595
2017-05-03,7555.360827206913
2017-05-10,7550.480914989532
2017-05-17,7563.107221462333
2017-05-24,7562.399856284052
2017-05-31,7532.350351995838
2017-06-08,7664.46498208063
2017-06-15,7646.630882004714
2017-06-22,7594.762599918937
2017-06-29,7631.120576989617
2017-07-06,7667.389035733205
2017-07-14,7690.234994567377
