ticker,approved_for_live,approval_status,approval_reason,direction_accuracy,baseline_up_rate,direction_edge_pp,return_spearman,threshold_used_fallback,confidence_threshold,evaluated_at,walkforward_trades,walkforward_win_rate,walkforward_total_pnl,walkforward_sharpe,walkforward_max_drawdown_pct,quality_source,portfolio_sharpe,portfolio_max_drawdown_pct,portfolio_total_return_pct,portfolio_nw_tstat_vs_cash,walkforward_avg_win,walkforward_avg_loss,walkforward_avg_win_loss_ratio,walkforward_profit_factor,walkforward_avg_expected_return,walkforward_exposure_pct,portfolio_cagr_pct,portfolio_avg_gross_exposure_pct,portfolio_in_market_pct,rank_spearman,confidence_validated,confidence_validation_reason,daily_rank_ic_mean,daily_rank_ic_tstat
LYV,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; avg_win_loss_ratio 0.668 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,28,0.7143,223.11,1.103,-0.76,backtest_walkforward,0.542,-17.47,139.1,2.443,27.78,41.56,0.668,1.671,0.2518,19.41,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
ROST,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,13,0.6154,124.3,1.093,-1.46,backtest_walkforward,0.542,-17.47,139.1,2.443,39.73,38.7,1.026,1.642,0.1792,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
META,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 5 < 10; avg_win_loss_ratio 0.391 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:15:31,5,0.8,27.18,0.858,-0.48,backtest_walkforward,0.647,-19.51,211.03,3.154,18.82,48.11,0.391,1.565,0.412,19.44,7.2,12.66,31.85,-0.0912,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0049,1.106
AMZN,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 5 < 10,47.88,46.41,1.47,,True,52.5,2026-05-02T18:15:31,5,0.6,47.02,0.927,-0.51,backtest_walkforward,0.647,-19.51,211.03,3.154,46.38,46.05,1.007,1.51,0.48,20.0,7.2,12.66,31.85,-0.0912,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0049,1.106
TXN,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 3 < 10; avg_win_loss_ratio 0.745 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,3,0.6667,17.45,0.815,-0.35,backtest_walkforward,0.542,-17.47,139.1,2.443,26.51,35.57,0.745,1.491,0.5667,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
UPS,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,12,0.5833,65.65,0.805,-1.26,backtest_walkforward,0.542,-17.47,139.1,2.443,30.28,29.26,1.035,1.449,0.2533,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
NVDA,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; avg_win_loss_ratio 0.795 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:15:31,59,0.6441,499.63,0.822,-1.43,backtest_walkforward,0.647,-19.51,211.03,3.154,43.15,54.29,0.795,1.438,0.5195,17.68,7.2,12.66,31.85,-0.0912,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0049,1.106
XOM,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,47.88,46.41,1.47,,True,52.5,2026-05-02T18:15:31,26,0.5769,101.0,0.658,-1.21,backtest_walkforward,0.647,-19.51,211.03,3.154,23.88,23.39,1.021,1.393,0.3431,20.0,7.2,12.66,31.85,-0.0912,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0049,1.106
NOW,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 8 < 10; avg_win_loss_ratio 0.834 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,8,0.625,54.48,0.696,-1.18,backtest_walkforward,0.542,-17.47,139.1,2.443,38.85,46.59,0.834,1.39,0.4775,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
MU,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 4 < 10,47.88,46.41,1.47,,True,52.5,2026-05-02T18:15:31,4,0.5,38.44,0.642,-1.08,backtest_walkforward,0.647,-19.51,211.03,3.154,73.61,54.39,1.353,1.353,0.4775,16.38,7.2,12.66,31.85,-0.0912,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0049,1.106
