group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
ticker,BRK-B,3,0.3333,-27.33,-49.72,-82.0,0.186,-0.839,50.63,0.6567,-0.0022,3.67
ticker,PH,2,0.0,-41.58,-41.58,-83.15,0.0,-3.92,51.98,0.165,-0.008,1.5
ticker,CCI,33,0.5455,-2.58,8.09,-85.05,0.77,-0.115,50.58,0.2182,-0.0066,2.7
ticker,BA,5,0.4,-17.66,-41.58,-88.3,0.43,-0.415,50.93,0.188,-0.0091,2.6
ticker,BSX,3,0.0,-30.2,-31.08,-90.61,0.0,-6.072,51.26,0.0467,0.0039,3.67
ticker,MAR,3,0.0,-30.34,-28.37,-91.01,0.0,-1.353,50.52,0.3067,-0.0075,3.67
ticker,BMY,2,0.0,-48.96,-48.96,-97.92,0.0,-5.1,50.88,0.075,0.0007,3.5
ticker,USB,4,0.0,-24.7,-26.58,-98.79,0.0,-4.725,50.92,0.1175,-0.0163,3.5
ticker,CI,4,0.25,-25.36,-41.17,-101.44,0.223,-0.802,50.24,0.32,0.0065,3.0
ticker,MA,5,0.2,-20.64,-22.95,-103.18,0.117,-1.113,52.02,0.074,-0.0011,3.6
ticker,D,5,0.2,-21.46,-31.16,-107.29,0.177,-0.958,51.18,0.476,0.005,3.6
ticker,QCOM,7,0.4286,-15.8,-0.38,-110.61,0.301,-0.471,50.9,0.2743,-0.0102,3.29
ticker,AMZN,2,0.0,-68.2,-68.2,-136.4,0.0,-27.611,50.45,0.32,0.0029,3.0
ticker,NUE,7,0.1429,-21.13,-20.95,-147.94,0.004,-1.452,52.28,0.1886,0.0112,4.0
ticker,CSCO,5,0.0,-31.25,-30.88,-156.26,0.0,-2.648,51.23,0.418,-0.0011,4.2
ticker,SBUX,5,0.0,-31.83,-30.98,-159.16,0.0,-13.132,50.23,0.236,-0.0002,3.0
ticker,PSX,11,0.2727,-14.51,-9.5,-159.57,0.277,-0.537,50.9,0.1855,-0.0201,3.82
ticker,GOOGL,10,0.4,-18.18,-25.69,-181.8,0.262,-0.583,50.45,-0.08,-0.0143,2.5
ticker,GS,5,0.0,-38.11,-31.4,-190.56,0.0,-2.733,52.72,0.008,-0.0139,2.8
ticker,MPC,6,0.1667,-41.0,-51.41,-246.03,0.141,-0.988,50.94,0.1917,-0.0129,2.67
ticker,NFLX,21,0.4286,-16.79,-17.8,-352.66,0.542,-0.279,51.74,0.2129,-0.0032,2.48
